setting,L0,z0,z1,As,hr0,k,Ts,Tlab,Da,composition,T0,T1,P0,rho0,critical_depth,critical_pressure,critical_temperature,plag_out_pressure,plag_out_temperature,plag_out_depth,qs0,qs1,effective_delta_rho,max_delta_rho,max_rho,max_densification_rate_1Myr,max_densification_rate_100kyr,max_densification_rate_50kyr,max_densification_rate_10kyr
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0124006172684363,0.8536120164094567,0.8573489862980965,0.8576718804856109,0.8576718804856109
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.94526598174101,1.0792995205869624,1.08966403291368,1.0905708234650882,1.0905708234650882
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,108000.0,30000.0,1293.9620862135102,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.049743925661746,0.7997666353274868,0.8016949191044507,0.8018583779217042,0.8018583779217042
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.01,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.1068361695291307,0.764890422293407,0.766742953083756,0.7668991193644481,0.7668991193644481
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.020088485196031,1.100002916011902,1.1223384251631958,1.1236041489981,1.1236041489981
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.9515025850240404,1.1030727464186316,1.1123849026721668,1.1132037909574704,1.1132037909574704
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,hacker_2015_md_xenolith,1044.0464720227953,1293.9693566065441,8181.540000000001,2982.6027759047083,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0578886186004657,1.127861573070862,1.1524198984389389,1.1538096016555397,1.1538096016555397
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.03,mackwell_1998_maryland_diabase,1044.0464720227953,1293.9693566065441,8181.540000000001,3041.6226496585246,108000.0,30000.0,1293.96208621351,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.1150941551249303,1.0854894067438532,1.108919883956727,1.110245879849842,1.110245879849842
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.1,sammon_2021_lower_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2944.003677883709,108000.0,30000.0,1293.9620862135098,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,3.0404126900032566,2.1514770158571555,2.226642715702639,2.2308495495056877,2.2308495495056877
a,55000.0,,,2e-06,13000.0,3.0,283.15,1603.15,0.1,sammon_2021_deep_crust,1044.0464720227953,1293.9693566065441,8181.540000000001,2871.03086860581,108000.0,30000.0,1293.9620862135102,nan,nan,nan,0.09194390774252162,0.0801837539800576,nan,nan,2.967777462724583,1.9085209141377064,1.9699128226379679,1.973350070510346,1.973350070510346
